42.0,18.0,29.0,32.0,13.0,24.0,16.0,74.0,11.0,260.0002374083542
36.0,41.0,25.0,8.0,86.0,45.0,60.0,79.0,14.0,395.566516490309
82.0,51.0,63.0,90.0,64.0,17.0,45.0,47.0,51.0,510.8764764724066
90.0,57.0,37.0,52.0,34.0,74.0,87.0,7.0,33.0,471.55486161561726
49.0,71.0,97.0,8.0,87.0,6.0,84.0,31.0,0.0,432.48328841805903
60.0,75.0,28.0,99.0,63.0,7.0,76.0,25.0,24.0,457.93845780918105
25.0,49.0,62.0,10.0,48.0,61.0,5.0,67.0,56.0,384.4785162984026
57.0,80.0,63.0,16.0,26.0,19.0,18.0,38.0,2.0,320.1538640775381
64.0,52.0,12.0,72.0,74.0,54.0,80.0,89.0,4.0,501.9928544759169
61.0,35.0,64.0,33.0,93.0,93.0,14.0,22.0,4.0,419.6662513471378
22.0,32.0,49.0,6.0,88.0,92.0,82.0,9.0,45.0,425.611883260851
3.0,5.0,50.0,63.0,47.0,45.0,10.0,6.0,26.0,255.09688355884165
47.0,48.0,10.0,7.0,37.0,83.0,65.0,48.0,49.0,396.59448675540966
1.0,34.0,37.0,3.0,70.0,80.0,75.0,50.0,27.0,378.96311618082063
78.0,26.0,53.0,85.0,20.0,64.0,98.0,60.0,62.0,546.8751748260955
44.0,30.0,6.0,43.0,28.0,82.0,2.0,76.0,16.0,327.390481666171
35.0,58.0,67.0,20.0,25.0,98.0,94.0,62.0,13.0,472.60531984208484
16.0,56.0,37.0,21.0,85.0,66.0,81.0,34.0,63.0,459.559040439007
68.0,29.0,29.0,39.0,54.0,44.0,92.0,78.0,95.0,527.9088153052857
27.0,3.0,82.0,39.0,43.0,92.0,90.0,56.0,6.0,438.26629752518545
13.0,45.0,96.0,8.0,29.0,95.0,31.0,89.0,14.0,420.399009910283
42.0,75.0,82.0,81.0,65.0,50.0,99.0,24.0,82.0,602.3196853129602
20.0,64.0,19.0,15.0,5.0,34.0,75.0,49.0,24.0,304.4523259984509
39.0,66.0,70.0,86.0,21.0,57.0,1.0,86.0,100.0,527.0545419722301
58.0,45.0,97.0,53.0,72.0,68.0,66.0,10.0,0.0,471.8767365932403
46.0,86.0,90.0,50.0,47.0,85.0,68.0,27.0,96.0,595.4293186815543
68.0,13.0,28.0,73.0,42.0,54.0,3.0,19.0,20.0,320.3964873524682
2.0,85.0,88.0,55.0,68.0,29.0,91.0,42.0,97.0,557.3110049429836
89.0,92.0,77.0,14.0,53.0,21.0,26.0,87.0,21.0,480.5218442158871
80.0,66.0,91.0,60.0,31.0,83.0,44.0,50.0,18.0,523.744094871913
81.0,93.0,20.0,76.0,94.0,92.0,86.0,86.0,75.0,702.384364370012
80.0,34.0,17.0,73.0,0.0,2.0,5.0,45.0,62.0,318.9050478068913
15.0,17.0,9.0,97.0,12.0,93.0,76.0,12.0,86.0,418.6909779425787
23.0,14.0,66.0,49.0,4.0,90.0,89.0,64.0,36.0,436.7846018418263
73.0,10.0,37.0,25.0,27.0,60.0,99.0,45.0,46.0,423.4951329132884
60.0,89.0,24.0,4.0,7.0,80.0,78.0,8.0,42.0,392.84998960622465
56.0,45.0,88.0,5.0,31.0,85.0,94.0,41.0,61.0,507.18807739127874
95.0,37.0,13.0,5.0,67.0,9.0,90.0,78.0,5.0,402.61598196033447
19.0,90.0,31.0,96.0,53.0,83.0,72.0,68.0,91.0,604.0018447183877
67.0,1.0,11.0,24.0,90.0,86.0,90.0,33.0,25.0,427.80405122721004
52.0,47.0,99.0,100.0,24.0,42.0,24.0,42.0,36.0,466.6713481846765
38.0,21.0,41.0,16.0,65.0,78.0,52.0,37.0,35.0,385.6690396032603
44.0,3.0,52.0,59.0,50.0,60.0,36.0,49.0,93.0,448.8492414398599
6.0,27.0,20.0,59.0,53.0,43.0,76.0,35.0,14.0,333.9872438135964
14.0,100.0,59.0,7.0,3.0,27.0,55.0,3.0,63.0,333.0142531964228
24.0,96.0,37.0,12.0,96.0,34.0,80.0,89.0,17.0,487.05455203963385
62.0,75.0,6.0,39.0,94.0,58.0,15.0,85.0,42.0,476.67066817367805
93.0,65.0,1.0,58.0,1.0,55.0,21.0,77.0,70.0,441.2975648650479
60.0,99.0,76.0,92.0,52.0,99.0,56.0,20.0,94.0,650.3925013421944
21.0,28.0,53.0,51.0,98.0,71.0,63.0,40.0,47.0,472.8553912667123
67.0,100.0,3.0,75.0,65.0,32.0,77.0,16.0,75.0,509.47581853532205
57.0,64.0,87.0,92.0,88.0,4.0,71.0,86.0,27.0,576.8892670528496
41.0,29.0,75.0,36.0,41.0,93.0,95.0,43.0,80.0,534.7333835809914
42.0,4.0,56.0,48.0,13.0,100.0,58.0,9.0,94.0,425.352406045569
43.0,52.0,41.0,90.0,81.0,98.0,89.0,70.0,92.0,658.5118672457446
43.0,14.0,50.0,96.0,63.0,26.0,85.0,76.0,1.0,454.5643942872286
38.0,69.0,60.0,79.0,81.0,47.0,65.0,54.0,77.0,569.4064425056055
